url,title,category
https://www.hdfcfund.com/product-solutions/overview/hdfc-top-100-fund/direct,HDFC Top 100 Fund (Large Cap) - HDFC MF,Scheme Details
https://www.hdfcfund.com/product-solutions/overview/hdfc-flexi-cap-fund/direct,HDFC Flexi Cap Fund - HDFC MF,Scheme Details
https://www.hdfcfund.com/product-solutions/overview/hdfc-elss-tax-saver/direct,HDFC ELSS Tax Saver Fund - HDFC MF,Scheme Details
https://www.hdfcfund.com/product-solutions/overview/hdfc-mid-cap-opportunities-fund/direct,HDFC Mid-Cap Opportunities Fund - HDFC MF,Scheme Details
https://groww.in/mutual-funds/hdfc-large-cap-fund-direct-plan-growth,HDFC Large Cap Fund on Groww,Groww Platform
https://groww.in/mutual-funds/hdfc-equity-fund-direct-growth,HDFC Flexi Cap Fund on Groww,Groww Platform
https://groww.in/mutual-funds/hdfc-elss-tax-saver-fund-direct-plan-growth,HDFC ELSS Tax Saver Fund on Groww,Groww Platform
https://groww.in/mutual-funds/hdfc-mid-cap-opportunities-fund-direct-growth,HDFC Mid-Cap Opportunities Fund on Groww,Groww Platform
https://www.hdfcfund.com/statutory-disclosure,HDFC MF Statutory Disclosure and Fees,Fees and Charges
https://groww.in/p/sip-systematic-investment-plan,Groww - What is SIP,Groww Guide
https://groww.in/blog/how-to-get-capital-gains-statement-for-mutual-fund-investments,How to Get Capital Gains Statement - Groww,Groww Guide
https://groww.in/blog/what-is-the-difference-between-sip-and-mutual-fund,SIP vs Mutual Fund - Groww,Groww Guide
https://www.amfiindia.com/investor-corner/knowledge-center/introduction-to-mutual-funds.html,Introduction to Mutual Funds - AMFI,AMFI Education
https://www.amfiindia.com/investor-corner/knowledge-center/types-of-mutual-fund-schemes.html,Types of Mutual Fund Schemes - AMFI,AMFI Education
https://www.amfiindia.com/investor-corner/knowledge-center/risks-in-mutual-funds.html,Risk Factors in Mutual Funds - AMFI,AMFI Education
https://www.sebi.gov.in/legal/circulars/oct-2017/categorization-and-rationalization-of-mutual-fund-schemes_36199.html,SEBI MF Categorization Circular,SEBI Regulation
https://www.camsonline.com/Investors/Statements/Consolidated-Account-Statement,CAMS Consolidated Account Statement,CAS Guide
https://mfs.kfintech.com/investor/General/ConsolidatedAccountStatement,KFintech Consolidated Account Statement,CAS Guide
